Customer_ID,Transactions,Total_Quantity,Total_Sales,Total_Profit,Average_Transaction_Value,Customer_Name,Segment,Customer_Value_Segment
C00001,2,11,274075.05,104066.6,137037.525,Sanjay Das,Retail,Low Value
C00002,2,5,34300.94,7789.47,17150.47,Priya Rao,Retail,Low Value
C00003,3,11,49000.06,344.2199999999999,16333.353333333333,Nisha Kumar,Retail,Low Value
C00004,8,24,503282.06,83086.72,62910.2575,Anitha Rao,SMB,Low Value
C00005,3,20,558841.5900000001,150053.98,186280.53000000003,Sneha Reddy,Retail,Low Value
C00006,4,21,635954.03,211965.91,158988.5075,Kavya Gupta,SMB,Medium Value
C00007,6,23,770752.1,225190.53,128458.68333333333,Arun Das,Enterprise,Medium Value
C00008,6,19,368834.43,104846.48999999999,61472.405,Anitha Gupta,Enterprise,Low Value
C00009,3,17,481264.48,63821.350000000006,160421.49333333332,Vijay Rao,Corporate,Low Value
C00010,5,28,468628.37,106304.72,93725.674,Surya Singh,Enterprise,Low Value
C00011,21,102,2180231.9699999997,699584.5700000001,103820.56999999999,Surya Kumar,Corporate,High Value
C00012,4,22,553528.23,107449.69,138382.0575,Meena Patel,Enterprise,Low Value
C00014,8,40,884119.58,246034.28,110514.9475,Sanjay Rao,SMB,Medium Value
C00015,4,28,331651.77,131128.89,82912.9425,Sneha Singh,Corporate,Low Value
C00016,7,34,737332.76,202969.96000000002,105333.25142857143,Manoj Sharma,SMB,Medium Value
C00017,5,26,803456.52,334203.44,160691.304,Priya Rao,Retail,Medium Value
C00018,4,21,644835.66,175270.14,161208.915,Ajay Gupta,Corporate,Medium Value
C00019,9,43,629379.05,113953.06999999999,69931.00555555556,Kavya Kumar,Enterprise,Low Value
C00020,1,8,185648.21,54388.93,185648.21,Nisha Rao,Retail,Low Value
C00021,6,21,529171.27,156274.27,88195.21166666667,Divya Sharma,SMB,Low Value
C00022,9,51,1487825.81,463601.85,165313.9788888889,Anitha Iyer,Corporate,High Value
C00023,12,46,745540.0,224855.57,62128.333333333336,Kavya Gupta,Corporate,Medium Value
C00024,8,42,764439.78,146084.84,95554.9725,Manoj Das,SMB,Medium Value
C00025,5,18,122882.27,20045.79,24576.454,Karthik Rao,Enterprise,Low Value
C00026,1,3,46811.03,10948.23,46811.03,Lakshmi Kumar,Retail,Low Value
C00027,7,29,661451.56,223491.16999999998,94493.08,Priya Iyer,SMB,Medium Value
C00028,3,4,85687.48999999999,25840.760000000002,28562.496666666662,Lakshmi Kumar,Enterprise,Low Value
C00029,9,43,1195779.7,341036.98,132864.4111111111,Sneha Sharma,Retail,High Value
C00030,6,28,860878.78,245005.76,143479.79666666666,Arun Reddy,Enterprise,Medium Value
C00031,14,57,1305120.29,315590.88,93222.87785714286,Priya Das,Corporate,High Value
C00032,4,15,472782.22,132166.23,118195.555,Lakshmi Kumar,Enterprise,Low Value
C00033,5,22,651215.36,228447.22999999998,130243.072,Rohit Rao,Retail,Medium Value
