Customer_ID,Transactions,Total_Quantity,Total_Sales,Total_Profit,Average_Transaction_Value,Customer_Name,Segment,Customer_Value_Segment
C00146,24,112,2624666.37,685878.08,109361.09875,Vijay Iyer,Enterprise,High Value
C00042,19,95,2497974.9,663827.05,131472.36315789472,Anitha Iyer,Enterprise,High Value
C00166,16,79,2268655.8000000003,578874.52,141790.98750000002,Asha Das,Enterprise,High Value
C00308,15,81,2261549.61,599717.8,150769.974,Arun Rao,Corporate,High Value
C00011,21,102,2180231.9699999997,699584.5700000001,103820.56999999999,Surya Kumar,Corporate,High Value
C00575,20,92,2056157.25,630399.67,102807.8625,Deepak Reddy,Enterprise,High Value
C00418,14,77,2007270.11,383150.91,143376.43642857144,Pooja Gupta,SMB,High Value
C00186,14,75,1993931.51,556129.73,142423.6792857143,Rohit Patel,Enterprise,High Value
C00536,20,86,1941181.75,559943.74,97059.0875,Pooja Singh,SMB,High Value
C00092,18,80,1936366.46,493131.35,107575.91444444444,Sneha Das,Corporate,High Value
